"cr83d_caseintent1id","cr83d_defaultsla","importsequencenumber","cr83d_name","cr83d_requiresapproval","statuscode","statecode","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit","cr83d_parentappcategory"
"be6e5fc5-011c-f111-88b2-000d3a316591","5","","CBTT Request for Future New Joiner","True","1","0","","","2575553","c88f4d16-1e19-f111-8342-000d3a30e1ff","61d939b9-011c-f111-88b2-000d3a316591"
"bd6e5fc5-011c-f111-88b2-000d3a316591","3","","Travel History Report","False","1","0","","","2575552","c88f4d16-1e19-f111-8342-000d3a30e1ff","b5c95fbf-011c-f111-88b2-000d3a316591"
"bc6e5fc5-011c-f111-88b2-000d3a316591","2","","Book Tickets For Europe Rail Travel","False","1","0","","","2575551","c88f4d16-1e19-f111-8342-000d3a30e1ff","5cd939b9-011c-f111-88b2-000d3a316591"
"bb6e5fc5-011c-f111-88b2-000d3a316591","5","","Remove Company Car Registration in Concur","True","1","0","","","2575550","c88f4d16-1e19-f111-8342-000d3a30e1ff","5dd939b9-011c-f111-88b2-000d3a316591"
"ba6e5fc5-011c-f111-88b2-000d3a316591","3","","ImmiSMART Drop Down Menu Missing Purpose","False","1","0","","","2575549","c88f4d16-1e19-f111-8342-000d3a30e1ff","62d939b9-011c-f111-88b2-000d3a316591"
"b96e5fc5-011c-f111-88b2-000d3a316591","2","","Process Claim on Concur Mobile App","False","1","0","","","2575547","c88f4d16-1e19-f111-8342-000d3a30e1ff","5ed939b9-011c-f111-88b2-000d3a316591"
"b86e5fc5-011c-f111-88b2-000d3a316591","5","","Missing or Lost Receipt","True","1","0","","","2575546","c88f4d16-1e19-f111-8342-000d3a30e1ff","5dd939b9-011c-f111-88b2-000d3a316591"
"d9c95fbf-011c-f111-88b2-000d3a316591","3","","AMEX GBT Changing Mechanism for Sending Itineraries","False","1","0","","","2575545","c88f4d16-1e19-f111-8342-000d3a30e1ff","5cd939b9-011c-f111-88b2-000d3a316591"
"d8c95fbf-011c-f111-88b2-000d3a316591","2","","What Travel Insurance Barclays Provide","False","1","0","","","2575544","c88f4d16-1e19-f111-8342-000d3a30e1ff","60d939b9-011c-f111-88b2-000d3a316591"
"d7c95fbf-011c-f111-88b2-000d3a316591","3","","Getting Cross Border Chaser Emails","False","1","0","","","2575543","c88f4d16-1e19-f111-8342-000d3a30e1ff","61d939b9-011c-f111-88b2-000d3a316591"
"d6c95fbf-011c-f111-88b2-000d3a316591","5","","Apply For Japan Visa","False","1","0","","","2575542","c88f4d16-1e19-f111-8342-000d3a30e1ff","5fd939b9-011c-f111-88b2-000d3a316591"
